claim_id,manuscript_section,target_metric,manuscript_value,ci_or_se_method,source_log_file,raw_log_line_number,exact_raw_log_text
C01,Sec 4.1,val_seqlen_auroc,0.6017 [0.5569; 0.6465],Hanley-McNeil,task-1262.log,12,"[All Proteins (val.tsv)] n= 656 (pos=441, neg=215) | AUROC = 0.6017 | 95% Bootstrap CI: [0.5545, 0.6469] | SE = 0.0234"
C02,Sec 4.1,val_seqlen_ge30_auroc,0.5996 [0.5544; 0.6448],Hanley-McNeil,task_f_uci_heart_strict_results.json,0,UNVERIFIED_QUERY
C03,Sec 4.1,val_header_auroc,0.5762 [0.5306; 0.6218],Hanley-McNeil,task_f_uci_heart_strict_results.json,0,UNVERIFIED_QUERY
C04,Sec 4.1,val_missing_auroc,0.4892 [0.4436; 0.5348],Hanley-McNeil,task_f_uci_heart_strict_results.json,0,UNVERIFIED_QUERY
C05,Sec 4.1,val_species_auroc,0.4872 [0.4398; 0.5359],Bootstrap,task-1262.log,19,"[val.tsv CONF_species] n= 656 (pos=441, neg=215) | AUROC = 0.4872 | 95% Bootstrap CI: [0.4520, 0.5251] | SE = 0.0183"
C06,Sec 4.1,train_seqlen_auroc,0.6010 [0.5781; 0.6239],Hanley-McNeil,task-1262.log,6,"[All Proteins (train.tsv)] n=2539 (pos=1734, neg=805) | AUROC = 0.6010 | 95% Bootstrap CI: [0.5789, 0.6248] | SE = 0.0117"
C07,Sec 4.1,train_species_auroc,0.4953 [0.4705; 0.5186],Bootstrap,task-1262.log,20,"[train.tsv CONF_species] n=2539 (pos=1734, neg=805) | AUROC = 0.4953 | 95% Bootstrap CI: [0.4742, 0.5156] | SE = 0.0107"
C08,Sec 4.1,train_human_seqlen_auroc,0.5898 [0.5574; 0.6206],Bootstrap,task-1262.log,7,"[Homo sapiens Only] n=1302 (pos=884, neg=418) | AUROC = 0.6291 | 95% Bootstrap CI: [0.5977, 0.6614] | SE = 0.0164"
C09,Sec 4.1,train_nonhuman_seqlen_auroc,0.6173 [0.5833; 0.6508],Bootstrap,task-1262.log,8,"[Non-Human Organisms Only] n=1237 (pos=850, neg=387) | AUROC = 0.5756 | 95% Bootstrap CI: [0.5423, 0.6089] | SE = 0.0170"
C10,Sec 4.1,train_sarscov2_seqlen_auroc,0.6406 [0.5654; 0.7107],Bootstrap,task-1262.log,0,UNVERIFIED_QUERY
C11,Sec 4.1,val_human_seqlen_auroc,0.5976 [0.5435; 0.6481],Bootstrap,task-1262.log,13,"[Homo sapiens Only] n= 483 (pos=321, neg=162) | AUROC = 0.5948 | 95% Bootstrap CI: [0.5442, 0.6502] | SE = 0.0272"
C12,Sec 4.1,val_nonhuman_seqlen_auroc,0.6225 [0.5317; 0.7093],Bootstrap,task-1262.log,14,"[Non-Human Organisms Only] n= 173 (pos=120, neg=53) | AUROC = 0.6076 | 95% Bootstrap CI: [0.5151, 0.6985] | SE = 0.0465"
C13,Sec 4.2,cleveland_auroc,0.7902,Exact,task-845.log,11,- Site [cleveland      ]: Full Model AUROC = 0.7902 | Age Baseline AUROC = 0.6370 (n=303)
C14,Sec 4.2,cleveland_age_baseline,0.6370,Exact,task-845.log,11,- Site [cleveland      ]: Full Model AUROC = 0.7902 | Age Baseline AUROC = 0.6370 (n=303)
C15,Sec 4.2,hungarian_auroc,0.7956,Exact,task-845.log,12,- Site [hungarian      ]: Full Model AUROC = 0.7956 | Age Baseline AUROC = 0.5868 (n=294)
C16,Sec 4.2,hungarian_age_baseline,0.5868,Exact,task-845.log,12,- Site [hungarian      ]: Full Model AUROC = 0.7956 | Age Baseline AUROC = 0.5868 (n=294)
C17,Sec 4.2,switzerland_auroc,0.5967,Exact,task-845.log,13,- Site [switzerland    ]: Full Model AUROC = 0.5967 | Age Baseline AUROC = 0.5413 (n=123)
C18,Sec 4.2,switzerland_age_baseline,0.5413,Exact,task-845.log,13,- Site [switzerland    ]: Full Model AUROC = 0.5967 | Age Baseline AUROC = 0.5413 (n=123)
C19,Sec 4.2,va_long_beach_auroc,0.6939,Exact,task-845.log,14,- Site [va_long_beach  ]: Full Model AUROC = 0.6939 | Age Baseline AUROC = 0.5967 (n=200)
C20,Sec 4.2,va_long_beach_age_baseline,0.5967,Exact,task-845.log,14,- Site [va_long_beach  ]: Full Model AUROC = 0.6939 | Age Baseline AUROC = 0.5967 (n=200)
C21,Sec 4.2,loso_mean_auroc,0.7191 ± 0.0814,Exact,task_f_uci_heart_strict_results.json,3,"""mean_site_auroc"": 0.7191091523710351,"
C22,Sec 4.2,loso_age_baseline_mean,0.5904 ± 0.0340,Exact,task-845.log,17,-> Age Baseline Site AUROC Mean = 0.5904
